time,adc,voltage
13:49:49,29824,1.5017807278553443
13:52:49,28992,1.4598855573357747
13:55:49,27072,1.3632043945983061
13:58:49,25600,1.2858594644083312
14:01:50,23808,1.1988464179446097
14:04:50,23616,1.1924010070954452
14:07:50,22400,1.1279468986037995
14:10:50,21824,1.098942549782559
14:13:50,20992,1.057047379262989
14:16:50,19968,1.0054840924696726
14:19:50,19200,0.9668116273746853
14:22:50,18944,0.9571435111009383
14:25:50,18560,0.9345845731288625
14:28:50,18880,0.9506981002517738
14:31:50,20160,1.0119295033188374
14:34:50,21568,1.0860517280842297
14:37:50,22784,1.1505058365758754
14:40:50,22464,1.1311696040283816
14:43:50,23616,1.1859555962462804
14:46:50,24192,1.2181826504921034
14:49:50,24128,1.214959945067521
14:52:50,23808,1.1988464179446097
14:55:50,23808,1.1956237125200275
14:58:50,23744,1.1956237125200275
15:01:50,24256,1.2214053559166858
15:04:51,24448,1.2214053559166858
15:07:51,24768,1.247186999313344
15:10:51,24576,1.237518883039597
15:13:51,24768,1.247186999313344
15:16:51,24128,1.2181826504921034
15:19:51,24192,1.2181826504921034
15:22:51,25344,1.2794140535591667
15:25:51,24704,1.2439642938887616
15:28:51,24512,1.2342961776150148
15:31:51,24576,1.237518883039597
15:34:51,24192,1.2181826504921034
15:37:51,23808,1.1956237125200275
15:40:51,24192,1.214959945067521
15:43:51,25280,1.2665232318608375
15:46:51,25792,1.2987502861066604
15:49:51,26176,1.3148638132295718
15:52:51,26176,1.3180865186541542
15:55:51,25152,1.2665232318608375
15:58:51,24576,1.237518883039597
16:01:52,25088,1.2568551155870908
16:04:52,25152,1.2665232318608375
16:07:52,25408,1.282636758983749
16:10:52,25792,1.2987502861066604
16:13:52,27584,1.3889860379949646
16:16:52,28864,1.4502174410620279
16:19:52,29376,1.4792217898832682
16:22:52,29888,1.5050034332799267
16:25:52,29952,1.5114488441290912
16:28:52,29632,1.4921126115815975
16:31:52,29632,1.4921126115815975
16:34:52,29312,1.475999084458686
16:37:52,29376,1.4792217898832682
16:40:52,29568,1.4921126115815975
16:43:52,29568,1.4921126115815975
16:46:52,29248,1.4695536736095216
16:49:52,29824,1.5017807278553443
16:52:52,29440,1.4824444953078508
16:55:52,29440,1.4792217898832682
16:58:52,30080,1.5146715495536736
17:01:52,30016,1.5146715495536736
17:04:53,29184,1.4695536736095216
17:07:53,29504,1.4824444953078508
17:10:53,29312,1.475999084458686
17:13:53,29568,1.485667200732433
17:16:53,29248,1.4727763790341037
17:19:53,29760,1.4985580224307622
17:22:53,29568,1.485667200732433
17:25:53,33728,1.6951430533302816
17:28:53,33536,1.6886976424811169
17:31:53,34304,1.7273701075761043
17:34:53,34560,1.7338155184252688
17:37:53,34112,1.714479285877775
17:40:53,34368,1.7241474021515222
17:43:53,34176,1.7177019913023575
17:46:53,31552,1.588793774319066
17:49:53,30656,1.5404531929503318
17:52:54,29312,1.4695536736095216
17:55:54,29184,1.4695536736095216
17:58:54,28608,1.440549324788281
18:01:54,27712,1.3986541542687112
18:04:54,33728,1.7048111696040282
18:07:54,30912,1.5565667200732431
18:10:54,31488,1.5855710688944837
18:13:54,31616,1.5920164797436482
18:16:54,31552,1.588793774319066
18:19:54,33216,1.6758068207827879
18:22:54,32192,1.6210208285648888
18:25:54,32576,1.6371343556878002
18:28:54,32768,1.6500251773861294
18:31:54,33600,1.6983657587548637
18:34:54,34176,1.7209246967269396
18:37:54,34752,1.7499290455481802
18:40:55,30592,1.5340077821011673
18:43:55,29120,1.4663309681849392
18:46:55,29888,1.5050034332799267
18:49:55,31040,1.56623483634699
18:52:55,30976,1.5565667200732431
18:55:55,31104,1.5694575417715724
18:58:55,34752,1.756374456397345
19:01:55,35712,1.7982696269169145
19:04:55,35968,1.8079377431906614
19:07:55,36544,1.8401647974364843
19:10:55,36800,1.8530556191348135
19:13:55,36992,1.8627237354085602
19:16:55,37568,1.8949507896543831
19:19:55,38016,1.9142870222018766
19:22:55,38400,1.930400549324788
19:25:55,38848,1.9594048981460288
19:28:55,39040,1.9690730144197757
19:31:55,39360,1.9884092469672694
19:34:55,39552,1.9916319523918515
19:37:55,39744,2.001300068665598
19:40:55,40384,2.030304417486839
19:43:55,40768,2.0560860608834974
19:46:55,40832,2.0560860608834974
19:49:56,40832,2.0560860608834974
19:52:56,40512,2.043195239185168
19:55:56,40832,2.0593087663080794
19:58:56,41216,2.0786449988555735
20:01:56,41536,2.0915358205539025
20:04:56,41664,2.097981231403067
20:07:56,41792,2.1044266422522315
20:10:56,42048,2.114094758525978
20:13:56,42048,2.114094758525978
20:16:56,42240,2.133430991073472
20:19:56,42560,2.1398764019226366
20:22:56,42176,2.1269855802243076
20:25:56,42432,2.1366536964980547
20:28:56,42752,2.155989929045548
20:31:56,43072,2.165658045319295
20:34:56,43264,2.1721034561684593
20:37:56,43200,2.178548867017624
20:40:56,43264,2.1753261615930417
20:43:56,43456,2.1817715724422064
20:46:56,43648,2.1946623941405354
20:49:56,43648,2.1946623941405354
20:52:56,43776,2.207553215838865
20:55:56,43712,2.197885099565118
20:58:57,43648,2.197885099565118
21:01:57,43776,2.207553215838865
21:04:57,43776,2.204330510414282
21:07:57,43776,2.204330510414282
21:10:57,43712,2.197885099565118
21:13:57,43968,2.207553215838865
21:16:57,44032,2.2172213321126115
21:19:57,44032,2.213998626688029
21:22:57,44032,2.220444037537194
21:25:57,44352,2.2301121538109405
21:28:57,44288,2.226889448386358
21:31:57,44224,2.2236667429617762
21:34:57,44864,2.259116502632181
21:37:57,44992,2.2623392080567633
